Refseq accn,Genbank accn,Organism name,TaxID
PRJNA116,PRJNA10719,Arabidopsis thaliana,3702
PRJNA122,PRJNA12269,Oryza sativa Japonica Group,39947
PRJNA122,PRJNA13141,Oryza sativa Japonica Group,39947
PRJNA127,PRJNA13836,Schizosaccharomyces pombe 972h-,284812
PRJNA127,PRJNA20755,Schizosaccharomyces pombe,4896
PRJNA128,PRJNA43747,Saccharomyces cerevisiae S288c,559292
PRJNA132,PRJNA13841,Neurospora crassa OR74A,367110
PRJNA148,PRJNA13173,Plasmodium falciparum 3D7,36329
PRJNA155,PRJNA13833,Encephalitozoon cuniculi GB-M1,284813
PRJNA158,PRJNA13758,Caenorhabditis elegans,6239
PRJNA163,PRJNA1438,Anopheles gambiae str. PEST,180454
PRJNA164,PRJNA13669,Drosophila melanogaster,7227
PRJNA164,PRJNA13812,Drosophila melanogaster,7227
PRJNA168,PRJNA31257,Homo sapiens,9606
PRJNA169,PRJNA11777,Mus musculus,10090
PRJNA169,PRJNA20689,Mus musculus,10090
PRJNA210,PRJNA27847,Guillardia theta,55529
PRJNA243,PRJNA13839,Fusarium graminearum PH-1,229533
PRJNA1433,PRJNA13840,Magnaporthe oryzae 70-15,242507
PRJNA1433,PRJNA16061,Magnaporthe oryzae 70-15,242507
PRJNA10623,PRJNA13834,Ashbya gossypii ATCC 10895,284811
PRJNA10627,PRJNA12552,Pan troglodytes,9598
PRJNA10627,PRJNA13184,Pan troglodytes,9598
PRJNA10698,PRJNA13856,Cryptococcus neoformans var. neoformans JEC21,214684
PRJNA10808,PRJNA10807,Gallus gallus,9031
PRJNA10808,PRJNA13342,Gallus gallus,9031
PRJNA12376,PRJNA13831,Candida glabrata CBS 138,284593
PRJNA12377,PRJNA13835,Kluyveromyces lactis NRRL Y-1140,284590
PRJNA12384,PRJNA13179,Canis lupus familiaris,9615
PRJNA12410,PRJNA13832,Debaryomyces hansenii CBS767,284592
PRJNA12414,PRJNA11933,Yarrowia lipolytica,4952
PRJNA12414,PRJNA13837,Yarrowia lipolytica CLIB122,284591
PRJNA12455,PRJNA10629,Rattus norvegicus,10116
PRJNA13343,PRJNA10625,Apis mellifera,7460
PRJNA13366,PRJNA12555,Bos taurus,9913
PRJNA13728,PRJNA10736,Strongylocentrotus purpuratus,7668
PRJNA13791,PRJDA34839,Rhodococcus opacus B4,632772
PRJNA13922,PRJNA11776,Danio rerio,7955
PRJNA13925,PRJNA201,Dictyostelium discoideum AX4,352472
PRJNA13961,PRJNA130,Aspergillus nidulans FGSC A4,227321
PRJNA14003,PRJNA131,Aspergillus fumigatus Af293,330879
PRJNA14004,PRJNA147,Plasmodium chabaudi chabaudi,31271
PRJNA14005,PRJNA10701,Candida albicans SC5314,237561
PRJNA14007,PRJNA1446,Ustilago maydis 521,237631
PRJNA15540,PRJNA11755,Trypanosoma cruzi,5693
PRJNA15564,PRJNA10724,Leishmania major strain Friedlin,347515
PRJNA15565,PRJNA11756,Trypanosoma brucei brucei strain 927/4 GUTat10.1,999953
PRJNA15585,PRJNA13200,Cryptosporidium hominis TU502,353151
PRJNA15586,PRJNA144,Cryptosporidium parvum Iowa II,353152
PRJNA15588,PRJNA146,Plasmodium berghei ANKA,5823
PRJNA15589,PRJNA1436,Plasmodium yoelii yoelii 17XNL,352914
PRJNA15590,PRJNA1439,Giardia lamblia ATCC 50803,184922
PRJNA15683,PRJNA12561,Monodelphis domestica,13616
PRJNA15718,PRJNA12540,Tribolium castaneum,7070
PRJNA15862,PRJNA30165,Bacillus megaterium QM B1551,545693
PRJNA16113,PRJNA11785,Mus musculus,10090
PRJNA16136,PRJNA16138,Theileria parva strain Muguga,333668
PRJNA16219,PRJNA13999,Rattus norvegicus,10116
PRJNA16308,PRJNA153,Theileria annulata strain Ankara,353154
PRJNA16397,PRJNA12395,Macaca mulatta,9544
PRJNA16397,PRJNA12537,Macaca mulatta,9544
PRJNA16792,PRJNA12564,Tetrahymena thermophila SB210,312017
PRJNA16821,PRJNA12795,Chaetomium globosum CBS 148.51,306901
PRJNA16822,PRJNA12883,Coccidioides immitis RS,246410
PRJNA16845,PRJNA16847,Pan troglodytes verus,37012
PRJNA17637,PRJNA15631,Aspergillus terreus NIH2624,341663
PRJNA17973,PRJNA10772,Populus trichocarpa,3694
PRJNA18295,PRJNA364,Eimeria tenella strain Houghton,413949
PRJNA18467,PRJNA15664,Aspergillus clavatus NRRL 1,344612
PRJNA18475,PRJNA15672,Neosartorya fischeri NRRL 181,331117
PRJNA18631,PRJNA16084,Trichomonas vaginalis G3,412133
PRJNA18793,PRJNA10626,Drosophila pseudoobscura pseudoobscura,46245
PRJNA18881,PRJNA16843,Scheffersomyces stipitis CBS 6054,322104
PRJNA19039,PRJNA12885,Ornithorhynchus anatinus,9258
PRJNA19119,PRJNA12386,Cryptococcus neoformans var. neoformans B-3501A,283643
PRJNA19129,PRJNA18661,Equus caballus,9796
PRJNA19129,PRJNA233529,Equus caballus,9796
PRJNA19161,PRJNA17751,Burkholderia phage phiE12-2,431892
PRJNA19163,PRJNA17755,Burkholderia phage phiE202,431893
PRJNA19165,PRJNA17777,Burkholderia phage phiE255,431894
PRJNA19185,PRJEA18663,Leishmania braziliensis MHOM/BR/75/M2904,420245
PRJNA19187,PRJNA12658,Leishmania infantum JPCM5,435258
PRJNA19263,PRJNA15772,Aspergillus niger,5061
PRJNA19263,PRJNA19275,Aspergillus niger CBS 513.88,425011
PRJNA19407,PRJNA13044,Ostreococcus lucimarinus CCE9901,436017
PRJNA19409,PRJNA18363,Paramecium tetraurelia strain d4-2,412030
PRJNA19593,PRJNA12729,Meyerozyma guilliermondii ATCC 6260,294746
PRJNA19611,PRJNA12899,Lodderomyces elongisporus NRRL YB-4239,379508
PRJNA19731,PRJNA12434,Aedes aegypti,7159
PRJNA19739,PRJNA142,Entamoeba histolytica HM-1:IMSS,294381
PRJNA19807,PRJNA16223,Pediculus humanus corporis,121224
PRJNA19965,PRJNA12581,Nematostella vectensis,45351
PRJNA20041,PRJNA12654,Ajellomyces capsulatus NAm1,339724
PRJNA20061,PRJNA15632,Botrytis cinerea B05.10,332648
PRJNA20073,PRJNA13660,Nasonia vitripennis,7425
PRJNA20263,PRJNA15530,Sclerotinia sclerotiorum 1980 UF-70,665079
PRJNA20343,PRJNA18731,Babesia bovis,5865
PRJNA20431,PRJNA150,Plasmodium vivax Sal-1,126793
PRJNA20539,PRJNA19237,Vanderwaltozyma polyspora DSM 70294,436907
PRJNA20789,PRJNA18763,Enterobacteria phage Phi1,448384
PRJNA20837,PRJNA19621,Homo sapiens,9606
PRJNA20855,PRJNA10731,Caenorhabditis briggsae AF16,473542
PRJNA21009,PRJDA19567,Enterococcus phage phiEF24C,442493
PRJNA21049,PRJNA13754,Phaeosphaeria nodorum SN15,321614
PRJNA21061,PRJNA12260,Chlamydomonas reinhardtii,3055
PRJNA27801,PRJNA10729,Brugia malayi,6279
PRJNA27839,PRJNA27761,Hemiselmis andersenii,464988
